,Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,Adv Age,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship
0,1969,22,82,43.1,11.4,22.1,0.518,-999.0,-999.0,-999.0,11.4,22.1,0.518,0.518,5.9,9.1,0.653,-999.0,-999.0,14.5,4.1,-999.0,-999.0,-999.0,3.5,28.8,22,22.5,0.552,-999.0,13.1,-999.0,-999.0,-999.0,-999.0,13.8,-999.0,-999.0,-999.0,-999.0,-2697.3,1,0,3,0.432,1,0
1,1970,23,82,40.1,13.0,22.5,0.577,-999.0,-999.0,-999.0,13.0,22.5,0.577,0.577,5.7,8.3,0.69,-999.0,-999.0,16.0,3.3,-999.0,-999.0,-999.0,3.2,31.7,23,29.0,0.606,18.9,12.2,-999.0,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,-999.0,-999.0,-2697.3,1,1,1,0.895,1,1
2,1971,24,81,44.2,14.3,24.9,0.574,-999.0,-999.0,-999.0,14.3,24.9,0.574,0.574,6.2,9.0,0.689,-999.0,-999.0,16.6,4.6,-999.0,-999.0,-999.0,2.9,34.8,24,29.9,0.603,18.1,16.1,-999.0,-999.0,-999.0,-999.0,25.4,-999.0,-999.0,-999.0,-999.0,-2697.3,1,1,1,0.646,1,0
3,1972,25,76,42.8,12.9,23.3,0.554,-999.0,-999.0,-999.0,12.9,23.3,0.554,0.554,4.3,6.1,0.713,-999.0,-999.0,16.1,5.0,-999.0,-999.0,-999.0,2.7,30.2,25,28.5,0.58,18.2,17.9,-999.0,-999.0,-999.0,-999.0,21.9,-999.0,-999.0,-999.0,-999.0,-2697.3,1,0,2,0.387,1,0
4,1973,26,81,43.8,11.7,21.7,0.539,-999.0,-999.0,-999.0,11.7,21.7,0.539,0.539,3.6,5.2,0.702,3.5,11.0,14.5,4.8,1.4,3.5,-999.0,2.9,27.0,26,24.4,0.564,16.9,16.1,1.4,4.0,-999.0,-999.0,18.4,4.9,3.6,8.5,9.4,25.380000000000003,1,1,1,0.583,1,0
5,1974,27,65,42.3,12.5,24.4,0.513,-999.0,-999.0,-999.0,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,-999.0,3.2,30.0,27,26.4,0.55,17.3,16.7,1.1,4.0,-999.0,-999.0,12.9,5.9,2.2,8.0,7.0,18.900000000000002,1,0,5,0.167,0,0
6,1975,28,82,41.2,11.1,21.1,0.529,-999.0,-999.0,-999.0,11.1,21.1,0.529,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,1.5,4.1,-999.0,3.6,27.7,28,27.2,0.567,19.6,19.4,1.6,4.9,-999.0,-999.0,17.0,6.2,4.0,10.2,10.5,28.35,1,1,1,0.442,0,0
7,1976,29,82,36.8,10.8,18.7,0.579,-999.0,-999.0,-999.0,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,-999.0,3.2,26.2,29,27.8,0.608,18.4,16.8,1.5,4.4,-999.0,-999.0,17.8,7.7,3.0,10.8,9.7,26.19,1,1,1,0.644,1,0
8,1977,30,62,36.5,10.7,19.4,0.55,-999.0,-999.0,-999.0,10.7,19.4,0.55,0.55,4.4,5.6,0.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8,30,29.2,0.589,18.1,18.3,2.1,4.1,13.3,27.0,12.1,5.5,3.6,9.0,6.3,17.01,0,0,4,0.059,1,0
9,1978,31,80,39.5,9.7,16.8,0.577,-999.0,-999.0,-999.0,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,31,25.5,0.612,17.6,18.9,1.1,5.0,15.3,23.3,14.4,3.9,3.9,7.8,7.8,21.060000000000002,1,0,4,0.067,1,0
10,1979,32,82,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,32,25.3,0.639,15.4,16.5,1.2,4.6,15.7,24.1,14.8,4.0,2.7,6.7,6.8,18.36,1,1,1,0.665,1,1
11,1980,33,80,37.2,10.5,18.2,0.574,0.0,0.0,0.0,10.5,18.2,0.574,0.574,5.3,6.9,0.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2,33,25.5,0.616,15.0,13.6,0.9,4.0,12.8,26.3,14.3,3.9,1.4,5.3,5.4,14.580000000000002,1,0,3,0.414,1,0
12,1981,34,76,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,34,23.4,0.608,13.4,11.9,1.1,4.1,13.3,25.6,10.7,2.9,1.4,4.3,4.2,11.340000000000002,1,0,10,0.045,1,1
13,1982,35,79,32.3,9.1,15.5,0.588,0.0,0.0,0.0,9.1,15.5,0.589,0.588,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,35,23.6,0.619,12.8,10.8,1.1,3.5,12.6,24.6,10.9,3.6,0.3,3.8,3.8,10.26,1,0,10,0.02,1,0
14,1983,36,80,32.8,9.0,15.5,0.578,0.0,0.0,0.0,9.0,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5,36,21.3,0.608,12.7,11.5,1.0,2.9,13.5,25.1,8.9,2.4,0.4,2.8,3.2,8.64,1,0,4,0.201,1,0
15,1984,37,79,33.3,9.2,15.3,0.599,0.0,0.0,0.0,9.2,15.3,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0,37,22.9,0.628,13.5,13.1,1.1,3.3,12.5,24.3,11.2,3.6,1.3,4.9,4.6,12.42,1,0,4,0.264,1,1
16,1985,38,79,33.3,9.6,16.9,0.564,0.0,0.0,0.0,9.6,16.9,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,38,22.7,0.603,10.3,15.7,1.2,2.7,11.7,26.6,10.8,3.7,0.8,4.5,4.3,11.61,1,0,5,0.173,1,0
17,1986,39,78,31.3,7.2,12.7,0.564,0.0,0.0,0.333,7.2,12.7,0.565,0.564,3.1,4.4,0.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5,39,17.9,0.597,11.9,11.6,0.9,2.2,14.0,22.1,7.5,1.2,0.4,1.6,2.2,5.940000000000001,1,0,0,0.0,1,1
18,1987,40,80,28.9,6.0,11.3,0.532,0.0,0.0,0.0,6.0,11.3,0.532,0.532,2.6,3.4,0.762,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6,40,15.8,0.57,11.7,8.4,1.0,2.2,13.5,21.4,5.3,-0.8,0.2,-0.6,0.8,2.16,1,0,0,0.0,1,1
19,1988,41,74,22.9,4.2,8.9,0.475,0.0,0.0,0.0,4.2,8.9,0.477,0.475,1.6,2.2,0.739,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1,41,12.9,0.511,11.0,6.1,1.1,2.9,11.5,20.1,2.9,-2.3,0.0,-2.3,-0.1,-0.27,1,0,0,0.0,1,0
